ts,uid,src_ip,src_port,src_mac,dst_ip,dst_port,dst_mac,proto,session_state,up_linklength,up_applength,up_pkts,down_linklength,down_applength,down_pkts
1595272215,CVJ41kNSi5C9d1xBR2XhRd,10.1.199.248,41972,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,2468,1268,22,18482,17228,23
1595272258,CdUdjuYg1uz2kokBHNjG0vl,10.1.196.27,41622,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,791,171,10,70,0,1
1595272238,CQSCE5Pe6oF9aMa9VrqvD21,10.1.199.249,3555,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,1339,417,17,37323,35591,32
1595272273,ClETlrDcWCNhLhe1i23RT9,10.1.199.248,46012,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,664,390,5,764,544,4
1595272272,CmwoBmQ0GxE5O1b8aZJX1F8,10.1.196.27,57071,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,804,184,10,70,0,1
1595272270,CyGOWg3v0rvdOoW5LXJIeb4,10.1.196.27,56709,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,570,166,6,70,0,1
1595272270,C1lrMNJwfTM1aqVuSMaQCVa,10.1.196.27,54447,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272273,CcKMMHT171T8j8H6wWQvwu4,10.1.196.27,58486,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272254,CmX2bcNxrK949xuq9cTfDnf,10.1.196.27,56573,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,625,167,7,1524,1388,2
1595272271,C6zvAq3cmBEeEBAAanfbQ23,10.1.196.27,42789,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,796,176,10,70,0,1
1595272274,C0JYsBXwc5vgAkdtZdCnGCg,10.1.196.27,41262,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,628,170,7,1259,1123,2
1595272274,CO637WAEFVxg0Br4X2Y4Bfg,10.1.196.27,54410,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,776,156,10,70,0,1
1595272274,C6QSa42Hctg557MNQCfyYDi,10.1.196.27,45211,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272271,CxijhkZOxuMeiYrwIULmDif,10.1.196.27,37022,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,678,166,8,187,51,2
1595272274,CXusViElgHkiKik6XI7OINh,10.1.196.27,52760,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,582,178,6,669,401,4
1595272270,CrKdePdsqtrbFGpkRaedai,10.1.199.6,60188,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,967,477,9,10452,9854,11
1595272252,C411FtOboDDaro1DWJ0PQQa,10.1.199.6,41214,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,834,506,6,1092,926,3
1595271960,CDxHyofeJsd2CYiiKHjc9jg,10.1.199.36,46312,74:ea:c8:28:14:01,192.168.255.8,80,00:1b:78:be:5c:40,http,1,74,0,1,0,0,0
1595272247,CzliZhz82xVeukgKgbaVkI4,10.1.199.248,41972,00:25:90:5b:8f:d5,10.1.196.1,80,74:ea:c8:28:14:01,http,4,2259,901,25,32079,30505,29
